Dates,Top 10 Gross,%± LW,Overall Gross,Releases,#1 Release,Week
Jan 7-13,"$78,462,189 ",-40%,"$82,739,591 ",37,Spider-Man: No Way Home,1
Jan 14-20,"$95,085,447 ",20.80%,"$99,933,491 ",44,Scream,2
Jan 21-27,"$55,074,903 ",-39.20%,"$60,746,879 ",48,Spider-Man: No Way Home,3
Jan 28-Feb 3,"$40,405,732 ",-23.50%,"$46,449,926 ",48,Spider-Man: No Way Home,4
Feb 4-10,"$71,334,671 ",65.80%,"$77,019,839 ",56,Jackass Forever,5
Feb 11-17,"$75,915,251 ",5.40%,"$81,194,788 ",54,Death on the Nile,6
Feb 18-24,"$126,706,188 ",64.70%,"$133,721,393 ",58,Uncharted,7
Feb 25-Mar 3,"$71,694,192 ",-40.20%,"$79,992,208 ",53,Uncharted,8
Mar 4-10,"$212,814,844 ",170.20%,"$216,125,188 ",52,The Batman,9
Mar 11-17,"$135,658,174 ",-35.30%,"$139,863,064 ",52,The Batman,10
Mar 18-24,"$105,976,322 ",-20.20%,"$111,576,161 ",62,The Batman,11
Mar 25-31,"$101,249,416 ",-4.60%,"$106,398,240 ",60,The Lost City,12
Apr 1-7,"$100,842,439 ",-1.20%,"$105,100,204 ",55,Morbius,13
Apr 8-14,"$152,927,000 ",48.20%,"$155,777,728 ",52,Sonic the Hedgehog 2,14
Apr 15-21,"$143,110,499 ",-6.90%,"$145,065,068 ",47,Fantastic Beasts: The Secrets of Dumbledore,15
Apr 22-28,"$116,142,835 ",-16.60%,"$120,958,761 ",52,The Bad Guys,16
Apr 29-May 5,"$81,094,055 ",-28.30%,"$86,689,695 ",53,The Bad Guys,17
May 6-12,"$274,222,047 ",219.70%,"$277,112,562 ",53,Doctor Strange in the Multiverse of Madness,18
May 13-19,"$116,653,465 ",-56.50%,"$120,475,480 ",51,Doctor Strange in the Multiverse of Madness,19
May 20-26,"$92,498,464 ",-18.60%,"$98,113,709 ",57,Doctor Strange in the Multiverse of Madness,20
May 27-Jun 2,"$279,870,156 ",189.70%,"$284,229,658 ",57,Top Gun: Maverick,21
Jun 3-9,"$180,149,969 ",-34.80%,"$185,212,388 ",64,Top Gun: Maverick,22
Jun 10-16,"$293,808,398 ",60.50%,"$297,265,363 ",58,Jurassic World: Dominion,23
Jun 17-23,"$239,467,070 ",-18.80%,"$241,502,854 ",58,Jurassic World: Dominion,24
Jun 24-30,"$204,160,240 ",-14.60%,"$206,132,038 ",55,Elvis,25
Jul 1-7,"$299,005,969 ",46.10%,"$301,253,959 ",52,Minions: The Rise of Gru,26
Jul 8-14,"$332,866,662 ",11.10%,"$334,746,945 ",57,Thor: Love and Thunder,27
Jul 15-21,"$203,094,384 ",-38.60%,"$205,657,279 ",58,Thor: Love and Thunder,28
Jul 22-28,"$190,271,137 ",-5.70%,"$193,908,187 ",57,Nope,29
Jul 29-Aug 4,"$144,821,635 ",-22%,"$151,253,578 ",53,DC League of Super-Pets,30
Aug 5-11,"$130,463,673 ",-9.50%,"$136,951,704 ",50,Bullet Train,31
Aug 12-18,"$83,895,113 ",-27.60%,"$99,088,597 ",63,Bullet Train,32
Aug 19-25,"$95,247,181 ",10.20%,"$109,212,416 ",61,Dragon Ball Super: Super Hero,33
Aug 26-Sep 1,"$57,167,640 ",-33.90%,"$72,138,144 ",63,The Invitation,34
Sep 2-8,"$61,477,939 ",15.20%,"$83,133,673 ",66,Top Gun: Maverick,35
Sep 9-15,"$45,753,332 ",-29.40%,"$58,690,664 ",73,Barbarian,36
Sep 16-22,"$58,104,893 ",21.20%,"$71,121,269 ",76,The Woman King,37
Sep 23-29,"$74,377,392 ",17.90%,"$83,857,157 ",77,Don't Worry Darling,38
Sep 30-Oct 6,"$77,608,975 ",5.40%,"$88,345,376 ",72,Smile,39
Oct 7-13,"$75,925,936 ",-5.40%,"$83,589,769 ",62,Smile,40
Oct 14-20,"$90,872,745 ",14.90%,"$96,008,336 ",57,Halloween Ends,41
Oct 21-27,"$142,445,560 ",53.30%,"$147,138,530 ",60,Black Adam,42
Oct 28-Nov 3,"$86,294,773 ",-37.50%,"$91,910,448 ",60,Black Adam,43
Nov 4-10,"$71,262,866 ",-15.10%,"$78,060,022 ",58,Black Adam,44
Nov 11-17,"$252,999,294 ",228.50%,"$256,394,073 ",53,Black Panther: Wakanda Forever,45
Nov 18-24,"$158,366,183 ",-34.90%,"$166,803,394 ",53,Black Panther: Wakanda Forever,46
Nov 25-Dec 1,"$108,155,850 ",-31.50%,"$114,257,971 ",48,Black Panther: Wakanda Forever,47
Dec 2-8,"$65,533,485 ",-37.20%,"$71,796,699 ",58,Black Panther: Wakanda Forever,48
Dec 9-15,"$45,214,764 ",-28.40%,"$51,423,288 ",57,Black Panther: Wakanda Forever,49
Dec 16-22,"$232,765,223 ",359.60%,"$236,321,167 ",46,Avatar: The Way of Water,50
Dec 23-29,"$242,130,042 ",4.30%,"$246,487,385 ",49,Avatar: The Way of Water,51
"Dec 30-Jan 5, 2023","$174,584,090 ",-28.40%,"$176,584,167 ",46,Avatar: The Way of Water,52
