Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
1-Jan,Sunday,1,"$36,210,982 ",-7.30%,-52.60%,31,Avatar: The Way of Water,"$24,519,161 "
2-Jan,Monday,2,"$32,548,656 ",-10.10%,-30.70%,30,Avatar: The Way of Water,"$21,411,622 "
3-Jan,Tuesday,3,"$16,965,068 ",-47.90%,-54.60%,30,Avatar: The Way of Water,"$10,544,729 "
4-Jan,Wednesday,4,"$12,131,291 ",-28.50%,-61.90%,30,Avatar: The Way of Water,"$7,475,308 "
5-Jan,Thursday,5,"$10,864,987 ",-10.40%,-65.20%,30,Avatar: The Way of Water,"$6,830,651 "
6-Jan,Friday,6,"$31,029,606 ",185.60%,-18.10%,28,M3GAN,"$11,726,555 "
7-Jan,Saturday,7,"$44,649,143 ",43.90%,59.70%,29,Avatar: The Way of Water,"$20,688,606 "
8-Jan,Sunday,8,"$28,588,281 ",-36%,-21.10%,29,Avatar: The Way of Water,"$13,729,301 "
9-Jan,Monday,9,"$7,924,065 ",-72.30%,-75.70%,28,Avatar: The Way of Water,"$3,478,414 "
10-Jan,Tuesday,10,"$10,870,334 ",37.20%,-35.90%,27,Avatar: The Way of Water,"$4,547,214 "
11-Jan,Wednesday,11,"$7,964,902 ",-26.70%,-34.30%,29,Avatar: The Way of Water,"$3,173,055 "
12-Jan,Thursday,12,"$7,202,303 ",-9.60%,-33.70%,30,Avatar: The Way of Water,"$2,974,300 "
13-Jan,Friday,13,"$25,676,736 ",256.50%,-17.30%,32,Avatar: The Way of Water,"$7,043,560 "
14-Jan,Saturday,14,"$40,457,653 ",57.60%,-9.40%,32,Avatar: The Way of Water,"$14,054,064 "
15-Jan,Sunday,15,"$32,575,322 ",-19.50%,13.90%,31,Avatar: The Way of Water,"$11,727,060 "
16-Jan,Monday,16,"$21,069,765 ",63.10%,-30.80%,32,Avatar: The Way of Water,"$7,056,071 "
17-Jan,Tuesday,17,"$9,757,114 ",-53.70%,-10.20%,31,Avatar: The Way of Water,"$2,769,211 "
18-Jan,Wednesday,18,"$6,203,124 ",-36.40%,-22.10%,31,Avatar: The Way of Water,"$1,865,293 "
19-Jan,Thursday,19,"$6,634,282 ",7%,-7.90%,31,Avatar: The Way of Water,"$1,959,746 "
20-Jan,Friday,20,"$19,736,410 ",197.50%,-23.10%,36,Avatar: The Way of Water,"$4,671,161 "
21-Jan,Saturday,21,"$31,885,285 ",61.60%,-21.20%,37,Avatar: The Way of Water,"$9,454,007 "
22-Jan,Sunday,22,"$19,145,201 ",-40%,-41.20%,36,Avatar: The Way of Water,"$6,007,938 "
23-Jan,Monday,23,"$5,462,805 ",-71.50%,-74.10%,33,Avatar: The Way of Water,"$1,580,745 "
24-Jan,Tuesday,24,"$7,810,579 ",43%,-19.90%,32,Avatar: The Way of Water,"$2,008,398 "
25-Jan,Wednesday,25,"$6,486,985 ",-16.90%,4.60%,33,Pathaan,"$1,490,951 "
26-Jan,Thursday,26,"$6,766,030 ",4.30%,2%,34,Avatar: The Way of Water,"$1,446,039 "
27-Jan,Friday,27,"$16,483,928 ",143.60%,-16.50%,39,Avatar: The Way of Water,"$3,616,215 "
28-Jan,Saturday,28,"$29,196,387 ",77.10%,-8.40%,37,Avatar: The Way of Water,"$7,921,324 "
29-Jan,Sunday,29,"$16,594,575 ",-43.20%,-13.30%,37,Avatar: The Way of Water,"$4,430,993 "
30-Jan,Monday,30,"$4,547,459 ",-72.60%,-16.80%,35,Avatar: The Way of Water,"$1,174,887 "
31-Jan,Tuesday,31,"$6,358,875 ",39.80%,-18.60%,34,Avatar: The Way of Water,"$1,512,270 "
1-Feb,Wednesday,32,"$4,273,018 ",-32.80%,-34.10%,35,Avatar: The Way of Water,"$1,078,480 "
2-Feb,Thursday,33,"$5,353,728 ",25.30%,-20.90%,35,The Chosen Season 3 Finale,"$1,666,707 "
3-Feb,Friday,34,"$21,777,681 ",306.80%,32.10%,36,Knock at the Cabin,"$5,409,055 "
4-Feb,Saturday,35,"$29,670,171 ",36.20%,1.60%,37,Knock at the Cabin,"$5,488,185 "
5-Feb,Sunday,36,"$19,273,412 ",-35%,16.10%,35,80 for Brady,"$3,595,914 "
6-Feb,Monday,37,"$4,555,353 ",-76.40%,0.20%,36,80 for Brady,"$1,210,212 "
7-Feb,Tuesday,38,"$7,425,331 ",63%,16.80%,35,80 for Brady,"$2,540,127 "
8-Feb,Wednesday,39,"$4,485,661 ",-39.60%,5%,35,80 for Brady,"$1,333,386 "
9-Feb,Thursday,40,"$4,101,737 ",-8.60%,-23.40%,34,80 for Brady,"$1,184,293 "
10-Feb,Friday,41,"$15,961,293 ",289.10%,-26.70%,33,Magic Mike's Last Dance,"$4,141,216 "
11-Feb,Saturday,42,"$23,001,748 ",44.10%,-22.50%,33,Avatar: The Way of Water,"$3,881,764 "
12-Feb,Sunday,43,"$8,885,159 ",-61.40%,-53.90%,33,Avatar: The Way of Water,"$1,619,552 "
