Franchise,Total,Releases,#1 Release,Lifetime Gross
Marvel Cinematic Universe,"$11,309,680,163",35,Avengers: Endgame,"$858,373,000"
Star Wars,"$5,083,065,844",22,Star Wars: Episode VII - The Force Awakens,"$936,662,225"
Disney Live Action Reimaginings,"$3,493,794,115",17,The Lion King,"$543,638,043"
Spider-Man,"$3,311,113,189",11,Spider-Man: No Way Home,"$804,793,477"
J.K. Rowling's Wizarding World,"$2,884,087,807",35,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219"
Batman,"$2,780,809,581",25,The Dark Knight,"$533,345,358"
Avengers,"$2,619,552,260",4,Avengers: Endgame,"$858,373,000"
X-Men,"$2,458,462,356",14,Deadpool,"$363,070,709"
DC Extended Universe,"$2,418,902,959",16,Wonder Woman,"$412,563,408"
Harry Potter,"$2,394,643,487",32,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219"
James Bond,"$2,273,796,409",26,Skyfall,"$304,360,277"
Jurassic Park,"$2,262,450,739",10,Jurassic World,"$652,270,625"
The Fast and the Furious,"$1,863,975,316",11,Furious 7,"$353,007,020"
Middle Earth,"$1,853,875,384",17,The Lord of the Rings: The Return of the King,"$377,027,325"
Shrek,"$1,593,537,558",7,Shrek 2,"$441,226,247"
Despicable Me,"$1,589,988,650",6,Minions: The Rise of Gru,"$369,695,210"
Transformers,"$1,582,401,601",7,Transformers: Revenge of the Fallen,"$402,111,870"
Pirates of the Caribbean,"$1,451,780,833",5,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812"
The Hunger Games,"$1,451,538,526",4,The Hunger Games: Catching Fire,"$424,668,047"
Avatar,"$1,450,605,511",4,Avatar,"$749,766,139"
Star Trek,"$1,402,093,928",15,Star Trek,"$257,730,019"
Twilight,"$1,365,922,347",7,The Twilight Saga: Eclipse,"$300,531,751"
Toy Story,"$1,318,120,746",6,Toy Story 4,"$434,038,008"
The Dark Knight Trilogy,"$1,190,000,139",8,The Dark Knight,"$533,345,358"
Mission: Impossible,"$1,155,020,930",6,Mission: Impossible - Fallout,"$220,159,104"
Superman,"$1,139,782,702",9,Batman v Superman: Dawn of Justice,"$330,360,194"
The Lord of the Rings,"$1,067,790,558",12,The Lord of the Rings: The Return of the King,"$377,027,325"
Thor,"$1,045,707,883",4,Thor: Love and Thunder,"$343,256,830"
Iron Man,"$1,040,481,451",4,Iron Man 3,"$409,013,994"
Indiana Jones,"$942,303,167",7,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119"
Top Gun,"$898,990,999",4,Top Gun: Maverick,"$718,732,821"
Frozen,"$878,326,587",3,Frozen II,"$477,373,578"
The Incredibles,"$870,022,836",2,Incredibles 2,"$608,581,744"
Finding Nemo,"$867,138,822",3,Finding Dory,"$486,295,561"
Captain America,"$844,505,426",3,Captain America: Civil War,"$408,084,349"
Jumanji,"$825,355,071",5,Jumanji: Welcome to the Jungle,"$404,515,480"
The Hobbit,"$816,556,246",6,The Hobbit: An Unexpected Journey,"$303,003,568"
Bourne,"$801,012,974",5,The Bourne Ultimatum,"$227,471,070"
Planet of the Apes,"$794,023,990",9,Dawn of the Planet of the Apes,"$208,545,589"
Ice Age,"$793,676,582",5,Ice Age: Dawn of the Dinosaurs,"$196,573,705"
Rocky,"$792,052,221",10,Rocky IV,"$127,873,716"
Star Wars Anthology,"$747,307,503",3,Rogue One: A Star Wars Story,"$532,177,324"
The Conjuring Universe,"$738,337,563",12,The Conjuring,"$137,400,141"
Guardians of the Galaxy,"$723,531,701",3,Guardians of the Galaxy Vol. 2,"$389,813,101"
Minions,"$705,740,980",2,Minions: The Rise of Gru,"$369,695,210"
Men in Black,"$703,448,488",5,Men in Black,"$250,690,539"
Deadpool,"$687,662,444",3,Deadpool,"$363,070,709"
Madagascar,"$673,848,864",4,Madagascar 3: Europe's Most Wanted,"$216,391,482"
Terminator,"$671,959,968",7,Terminator 2: Judgment Day,"$204,843,345"
Alvin and the Chipmunks,"$662,743,627",5,Alvin and the Chipmunks: The Squeakquel,"$219,614,612"
The Hangover,"$644,004,123",4,The Hangover,"$277,322,503"
Doctor Strange,"$643,973,527",2,Doctor Strange in the Multiverse of Madness,"$411,331,607"
The Matrix,"$630,654,142",5,The Matrix Reloaded,"$281,576,461"
Halloween,"$624,106,675",14,Halloween,"$159,342,015"
LEGO,"$599,223,260",8,The Lego Movie,"$257,760,692"
Fockers,"$593,943,805",3,Meet the Fockers,"$279,261,160"
Alien,"$593,148,322",11,Prometheus,"$126,477,084"
Cars,"$588,436,493",3,Cars,"$244,082,982"
Teenage Mutant Ninja Turtles,"$583,720,631",7,Teenage Mutant Ninja Turtles,"$191,204,754"
Monsterverse,"$580,145,113",4,Godzilla,"$200,676,069"
Madea,"$569,784,278",9,Madea Goes to Jail,"$90,508,336"
Ocean's 11,"$566,411,880",5,Ocean's Eleven,"$183,417,150"
Godzilla,"$565,041,494",9,Godzilla,"$200,676,069"
"Monsters, Inc.","$559,135,020",4,Monsters University,"$268,492,764"
How to Train Your Dragon,"$555,529,660",4,How to Train Your Dragon,"$217,581,231"
The Mummy,"$550,944,126",4,The Mummy Returns,"$202,019,785"
King Kong,"$544,374,596",5,King Kong,"$218,080,025"
Night at the Museum,"$541,853,610",3,Night at the Museum,"$250,863,268"
It,"$540,497,506",5,It,"$327,481,748"
Wolverine,"$538,717,077",3,Logan,"$226,277,068"
The Chronicles of Narnia,"$537,719,397",3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957"
Planet of the Apes (2011-2017),"$532,185,936",3,Dawn of the Planet of the Apes,"$208,545,589"
