Genre,Total,Titles,#1 Title,Lifetime Gross,Average Per Release
Space Opera,"$1,989,151,759 ",10,Star Wars: Episode I - The Phantom Menace,"$474,544,677 ","$198,915,176 "
Origin Story,"$8,640,788,842 ",47,Black Panther,"$700,426,566 ","$183,846,571 "
Dinosaur,"$2,895,680,794 ",16,Jurassic World,"$653,406,625 ","$180,980,050 "
Superhero,"$26,015,891,931 ",151,Avengers: Endgame,"$858,373,000 ","$172,290,675 "
IMAX,"$57,370,014,078 ",374,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ","$153,395,760 "
Monster,"$3,493,605,316 ",23,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587 ","$151,895,883 "
Dragon,"$3,493,605,316 ",23,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587 ","$151,895,883 "
Comic Book Adaptation,"$27,454,253,038 ",186,Avengers: Endgame,"$858,373,000 ","$147,603,511 "
Prequel,"$6,771,334,755 ",46,Rogue One: A Star Wars Story,"$533,539,991 ","$147,202,929 "
The Chosen One,"$689,409,730 ",5,The Matrix Reloaded,"$281,576,461 ","$137,881,946 "
3D,"$51,616,407,367 ",396,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ","$130,344,463 "
CGI Animation,"$24,488,637,192 ",194,Incredibles 2,"$608,581,744 ","$126,230,089 "
Alien Invasion,"$7,243,540,453 ",58,Avengers: Endgame,"$858,373,000 ","$124,888,629 "
Invasion,"$7,243,540,453 ",58,Avengers: Endgame,"$858,373,000 ","$124,888,629 "
Penguin,"$1,243,287,093 ",10,Madagascar 3: Europe's Most Wanted,"$216,391,482 ","$124,328,709 "
Treasure Hunt,"$2,946,729,553 ",26,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ","$113,335,752 "
Hunt,"$2,946,729,553 ",26,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ","$113,335,752 "
Cartoon Adaptation,"$3,886,958,326 ",36,Transformers: Revenge of the Fallen,"$402,111,870 ","$107,971,065 "
Children's TV Show Adaptation,"$3,886,958,326 ",36,Transformers: Revenge of the Fallen,"$402,111,870 ","$107,971,065 "
Underwater,"$1,929,664,170 ",18,Finding Dory,"$486,295,561 ","$107,203,565 "
Cinderella Complex,"$2,112,616,480 ",20,Beauty and the Beast,"$504,481,165 ","$105,630,824 "
Swashbuckler,"$2,319,334,476 ",22,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ","$105,424,294 "
Heroine,"$8,515,471,467 ",82,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ","$103,847,213 "
Young Adult Novel Adaptation,"$7,990,048,968 ",79,The Hunger Games: Catching Fire,"$424,668,047 ","$101,139,860 "
The Middle East,"$4,429,460,849 ",44,Transformers: Revenge of the Fallen,"$402,111,870 ","$100,669,565 "
Anthropomorphic Animal,"$3,825,537,360 ",39,The Lion King,"$543,638,043 ","$98,090,702 "
Anthropomorphic Character,"$3,825,537,360 ",39,The Lion King,"$543,638,043 ","$98,090,702 "
