Rank,Title,Lifetime Gross,Overall Rank,Year,MPA Rating
1,Toy Story 4,"$434,038,008 ",28,2019,G
2,The Lion King,"$422,783,777 ",32,1994,G
3,Toy Story 3,"$415,004,880 ",34,2010,G
4,Finding Nemo,"$380,843,261 ",48,2003,G
5,"Monsters, Inc.","$290,642,256 ",109,2001,G
6,Monsters University,"$268,492,764 ",120,2013,G
7,Toy Story 2,"$245,852,179 ",143,1999,G
8,Cars,"$244,082,982 ",145,2006,G
9,WALL·E,"$223,808,164 ",175,2008,G
10,Toy Story,"$223,225,679 ",176,1995,G
11,Beauty and the Beast,"$218,967,620 ",182,1991,G
12,Aladdin,"$217,350,219 ",188,1992,G
13,Ratatouille,"$206,445,654 ",214,2007,G
14,Gone with the Wind,"$200,882,193 ",225,1939,G
15,Cars 2,"$191,452,396 ",241,2011,G
16,The Polar Express,"$189,528,738 ",247,2004,G
17,Snow White and the Seven Dwarfs,"$184,925,486 ",256,1937,G
18,Tarzan,"$171,091,819 ",312,1999,G
19,A Bug's Life,"$162,798,565 ",345,1998,G
20,The Sound of Music,"$159,287,539 ",360,1965,G
21,Horton Hears a Who!,"$154,529,439 ",379,2008,G
22,Cars 3,"$152,901,115 ",386,2017,G
23,One Hundred and One Dalmatians,"$144,880,014 ",420,1961,G
24,The Jungle Book,"$141,843,612 ",435,1967,G
25,Pocahontas,"$141,579,773 ",438,1995,G
26,The Santa Clause 2,"$139,236,327 ",452,2002,G
27,101 Dalmatians,"$136,189,294 ",469,1996,G
28,Chicken Little,"$135,386,665 ",472,2005,G
29,Alvin and the Chipmunks: Chipwrecked,"$133,110,742 ",487,2011,G
30,Rio 2,"$131,538,435 ",497,2014,G
31,The Peanuts Movie,"$130,178,411 ",505,2015,G
32,Mulan,"$120,620,254 ",575,1998,G
33,The Little Mermaid,"$111,543,479 ",654,1989,G
34,The Princess Diaries,"$108,248,956 ",682,2001,G
35,Chicken Run,"$106,834,564 ",696,2000,G
36,The Princess and the Frog,"$104,400,899 ",719,2009,G
37,Mary Poppins,"$102,272,727 ",746,1964,G
38,Bambi,"$102,247,150 ",747,1942,G
39,The Rugrats Movie,"$100,494,675 ",779,1998,G
40,Airport,"$100,489,151 ",781,1970,G
41,The Hunchback of Notre Dame,"$100,138,851 ",793,1996,G
42,Gnomeo & Juliet,"$99,967,670 ",799,2011,G
43,Hercules,"$99,112,101 ",801,1997,G
44,Meet the Robinsons,"$97,822,171 ",806,2007,G
45,The Princess Diaries 2: Royal Engagement,"$95,170,481 ",829,2004,G
46,Lady and the Tramp,"$93,602,326 ",846,1955,G
47,Cinderella,"$93,141,149 ",854,1950,G
48,High School Musical 3: Senior Year,"$90,559,416 ",884,2008,G
49,The Emperor's New Groove,"$89,636,687 ",897,2000,G
50,Peter Pan,"$87,404,651 ",915,1953,G
51,Pokémon: The First Movie - Mewtwo Strikes Back,"$85,744,662 ",938,1999,G
52,Brother Bear,"$85,336,277 ",942,2003,G
53,The Santa Clause 3: The Escape Clause,"$84,500,122 ",956,2006,G
54,Pinocchio,"$84,254,167 ",960,1940,G
55,Charlotte's Web,"$82,985,708 ",985,2006,G
56,Star Trek: The Motion Picture,"$82,604,699 ",990,1979,G
57,Jimmy Neutron: Boy Genius,"$80,936,232 ","1,021",2001,G
58,Hannah Montana: The Movie,"$79,576,189 ","1,049",2009,G
59,March of the Penguins,"$77,437,223 ","1,074",2005,G
60,Rugrats in Paris,"$76,507,756 ","1,088",2000,G
61,Fantasia,"$76,408,097 ","1,091",1941,G
62,The Rookie,"$75,600,072 ","1,113",2002,G
63,Ben-Hur,"$74,432,704 ","1,133",1959,G
64,Oliver & Company,"$74,151,346 ","1,139",1988,G
65,Spirit: Stallion of the Cimarron,"$73,280,117 ","1,151",2002,G
66,Justin Bieber: Never Say Never,"$73,013,910 ","1,161",2011,G
67,My Fair Lady,"$72,560,711 ","1,168",1964,G
68,The Rescuers,"$71,215,869 ","1,196",1977,G
69,102 Dalmatians,"$66,957,026 ","1,289",2000,G
70,Herbie Fully Loaded,"$66,023,816 ","1,312",2005,G
71,"What's Up, Doc?","$66,000,000 ","1,314",1972,G
72,The Muppet Movie,"$65,810,475 ","1,318",1979,G
73,The Ten Commandments,"$65,500,000 ","1,326",1956,G
74,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$65,281,781 ","1,331",2008,G
75,Babe,"$63,658,910 ","1,378",1995,G
76,The Fox and the Hound,"$63,456,988 ","1,382",1981,G
77,Fantasia 2000,"$60,655,420 ","1,445",2000,G
78,2001: A Space Odyssey,"$60,481,243 ","1,451",1968,G
79,Anastasia,"$58,406,347 ","1,513",1997,G
80,Curious George,"$58,360,760 ","1,515",2006,G
81,Cleopatra,"$57,777,778 ","1,533",1963,G
82,The Curse of the Were-Rabbit,"$56,110,897 ","1,594",2005,G
83,Hubble,"$52,522,904 ","1,708",2010,G
84,Funny Girl,"$52,223,306 ","1,717",1968,G
85,Sleeping Beauty,"$51,600,000 ","1,744",1959,G
86,The Love Bug,"$51,264,000 ","1,756",1969,G
87,The Tale of Despereaux,"$50,877,145 ","1,770",2008,G
88,Peter Pan 2: Return to Never Land,"$48,430,258 ","1,858",2002,G
89,The Land Before Time,"$48,092,846 ","1,872",1988,G
90,The Jungle Book 2,"$47,901,582 ","1,882",2003,G
91,An American Tail,"$47,483,002 ","1,896",1986,G
92,Deep Sea,"$46,412,757 ","1,943",2006,G
93,It's a Mad Mad Mad Mad World,"$46,332,858 ","1,948",1963,G
94,College Road Trip,"$45,610,425 ","1,972",2008,G
95,The Tigger Movie,"$45,554,533 ","1,974",2000,G
96,The Odd Couple,"$44,527,234 ","2,021",1968,G
97,Pokémon the Movie 2000,"$43,758,684 ","2,056",2000,G
98,Around the World in 80 Days,"$42,000,000 ","2,134",1956,G
99,The Return of the Pink Panther,"$41,833,347 ","2,140",1975,G
100,Homeward Bound: The Incredible Journey,"$41,833,324 ","2,141",1993,G
101,Swiss Family Robinson,"$40,356,000 ","2,213",1960,G
102,PAW Patrol: The Movie,"$40,127,371 ","2,227",2021,G
103,Pete's Dragon,"$39,588,000 ","2,250",1977,G
104,Benji,"$39,552,000 ","2,253",1974,G
105,The Great Mouse Detective,"$38,625,550 ","2,295",1986,G
106,Herbie Rides Again,"$38,229,000 ","2,321",1974,G
107,The Black Stallion,"$37,799,643 ","2,354",1979,G
108,Song of the South,"$37,459,346 ","2,376",1980,G
109,The Wild,"$37,384,046 ","2,380",2006,G
110,The Apple Dumpling Gang,"$36,853,000 ","2,408",1975,G
111,Recess: School's Out,"$36,706,141 ","2,419",2001,G
112,Under the Sea 3D,"$36,262,926 ","2,449",2009,G
113,The Aristocats,"$35,452,658 ","2,491",1980,G
114,A Goofy Movie,"$35,348,597 ","2,502",1995,G
115,Muppet Treasure Island,"$34,327,391 ","2,566",1996,G
116,Mr. Bean's Holiday,"$33,302,167 ","2,628",2007,G
117,Giant,"$32,855,818 ","2,656",1956,G
