Rank,Title,Lifetime Gross,Overall Rank,Year,MPA Rate
1,Incredibles 2,"$608,581,744 ",13,2018,PG
2,The Lion King,"$543,638,043 ",14,2019,PG
3,Beauty and the Beast,"$504,481,165 ",18,2017,PG
4,Finding Dory,"$486,295,561 ",19,2016,PG
5,Frozen II,"$477,373,578 ",20,2019,PG
6,Star Wars: Episode I - The Phantom Menace,"$474,544,677 ",21,1999,PG
7,Star Wars: Episode IV - A New Hope,"$460,998,507 ",22,1977,PG
8,Shrek 2,"$441,226,247 ",26,2004,PG
9,E.T. the Extra-Terrestrial,"$437,141,279 ",27,1982,PG
10,Frozen,"$400,953,009 ",44,2013,PG
11,Minions: The Rise of Gru,"$369,695,210 ",54,2022,PG
12,The Secret Life of Pets,"$368,384,330 ",56,2016,PG
13,Despicable Me 2,"$368,065,385 ",57,2013,PG
14,The Jungle Book,"$364,001,123 ",58,2016,PG
15,Inside Out,"$356,921,711 ",60,2015,PG
16,Aladdin,"$355,559,216 ",61,2019,PG
17,Zootopia,"$341,268,248 ",67,2016,PG
18,Minions,"$336,045,770 ",70,2015,PG
19,Alice in Wonderland,"$334,191,110 ",74,2010,PG
20,Shrek the Third,"$322,719,944 ",81,2007,PG
21,Harry Potter and the Sorcerer's Stone,"$318,886,962 ",85,2001,PG
22,Star Wars: Episode II - Attack of the Clones,"$310,676,740 ",90,2002,PG
23,Star Wars: Episode VI - Return of the Jedi,"$309,306,177 ",92,1983,PG
24,Harry Potter and the Half-Blood Prince,"$302,334,374 ",97,2009,PG
25,Up,"$293,004,164 ",102,2009,PG
26,Star Wars: Episode V - The Empire Strikes Back,"$292,753,960 ",103,1980,PG
27,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957 ",107,2005,PG
28,Home Alone,"$285,761,243 ",111,1990,PG
29,The Grinch,"$271,384,731 ",118,2018,PG
30,Sing,"$270,578,425 ",119,2016,PG
31,Shrek,"$268,163,011 ",121,2001,PG
32,Jaws,"$265,859,065 ",122,1975,PG
33,Despicable Me 3,"$264,624,300 ",123,2017,PG
34,Harry Potter and the Chamber of Secrets,"$262,641,637 ",124,2002,PG
35,The Incredibles,"$261,441,092 ",126,2004,PG
36,How the Grinch Stole Christmas,"$260,715,005 ",127,2000,PG
37,The Lego Movie,"$257,966,122 ",130,2014,PG
38,Despicable Me,"$251,557,985 ",136,2010,PG
39,Night at the Museum,"$250,863,268 ",138,2006,PG
40,Harry Potter and the Prisoner of Azkaban,"$250,105,651 ",140,2004,PG
41,Moana,"$248,757,044 ",141,2016,PG
42,Indiana Jones and the Raiders of the Lost Ark,"$248,159,971 ",142,1981,PG
43,Ghostbusters,"$243,578,797 ",146,1984,PG
44,My Big Fat Greek Wedding,"$241,438,208 ",149,2002,PG
45,Maleficent,"$241,410,378 ",150,2014,PG
46,Shrek Forever After,"$238,736,787 ",152,2010,PG
47,Brave,"$237,283,207 ",154,2012,PG
48,Oz the Great and Powerful,"$234,911,825 ",155,2013,PG
49,Big Hero 6,"$222,527,828 ",177,2014,PG
50,National Treasure: Book of Secrets,"$219,964,115 ",179,2007,PG
51,Alvin and the Chipmunks: The Squeakquel,"$219,614,612 ",180,2009,PG
52,How to Train Your Dragon,"$217,581,231 ",186,2010,PG
53,Alvin and the Chipmunks,"$217,326,974 ",189,2007,PG
54,Madagascar 3: Europe's Most Wanted,"$216,391,482 ",193,2012,PG
55,Kung Fu Panda,"$215,771,591 ",194,2008,PG
56,The Lorax,"$214,373,500 ",198,2012,PG
57,Back to the Future,"$212,836,762 ",203,1985,PG
58,Coco,"$210,460,015 ",206,2017,PG
59,Charlie and the Chocolate Factory,"$206,459,076 ",213,2005,PG
60,Cinderella,"$201,151,353 ",223,2015,PG
61,Ralph Breaks the Internet,"$201,091,711 ",224,2018,PG
62,Tangled,"$200,821,936 ",226,2010,PG
63,Monsters vs. Aliens,"$198,351,526 ",231,2009,PG
64,Happy Feet,"$198,000,317 ",232,2006,PG
65,Ice Age: Dawn of the Dinosaurs,"$196,573,705 ",234,2009,PG
66,Ice Age: The Meltdown,"$195,330,621 ",235,2006,PG
67,Madagascar,"$193,595,521 ",239,2005,PG
68,Sonic the Hedgehog 2,"$190,872,904 ",243,2022,PG
69,Spider-Man: Into the Spider-Verse,"$190,241,310 ",244,2018,PG
70,Grease,"$190,071,103 ",245,1978,PG
71,Wreck-It Ralph,"$189,422,889 ",248,2012,PG
72,The Croods,"$187,168,425 ",252,2013,PG
73,Top Gun,"$180,258,178 ",272,1986,PG
74,Madagascar: Escape 2 Africa,"$180,010,950 ",275,2008,PG
75,Indiana Jones and the Temple of Doom,"$179,870,271 ",277,1984,PG
76,Elf,"$178,053,220 ",281,2003,PG
77,Home,"$177,397,510 ",282,2015,PG
78,Night at the Museum: Battle of the Smithsonian,"$177,243,721 ",283,2009,PG
79,Tootsie,"$177,200,000 ",284,1982,PG
80,How to Train Your Dragon 2,"$177,002,924 ",285,2014,PG
81,The Karate Kid,"$176,591,618 ",288,2010,PG
82,Ice Age,"$176,387,405 ",290,2002,PG
83,The Lego Batman Movie,"$175,936,671 ",293,2017,PG
84,The Boss Baby,"$175,003,033 ",295,2017,PG
85,The Greatest Showman,"$174,340,174 ",298,2017,PG
86,Apollo 13,"$173,837,933 ",300,1995,PG
