Brand,Total,Releases,#1 Release,Lifetime Gross
Marvel Comics,"$17,130,521,167 ",74,Avengers: Endgame,"$858,373,000 "
Legendary Pictures,"$7,020,120,489 ",64,Jurassic World,"$652,270,625 "
DC Comics,"$6,447,468,590 ",61,The Dark Knight,"$533,345,358 "
Stephen King,"$1,730,092,967 ",53,It,"$327,481,748 "
Blumhouse Productions,"$2,516,080,536 ",51,Get Out,"$176,040,665 "
Vertigo Entertainment,"$3,155,524,780 ",49,It,"$327,481,748 "
DreamWorks Animation,"$6,065,156,432 ",48,Shrek 2,"$441,226,247 "
Amazon Studios,"$204,376,048 ",43,Manchester by the Sea,"$47,695,371 "
Lucasfilm,"$6,326,389,060 ",41,Star Wars: Episode VII - The Force Awakens,"$936,662,225 "
Walden Media,"$1,842,879,641 ",39,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957 "
Sony Pictures Classics,"$416,199,811 ",37,"Crouching Tiger, Hidden Dragon","$128,078,872 "
MTV,"$1,520,456,359 ",36,The Longest Yard,"$158,119,460 "
Saturday Night Live - Alumni Debuts,"$1,023,596,031 ",30,Bridesmaids,"$169,106,725 "
CBS Films,"$652,824,187 ",29,Scary Stories to Tell in the Dark,"$68,947,075 "
Pixar,"$6,078,217,662 ",28,Incredibles 2,"$608,581,744 "
Studio Ghibli,"$71,878,978 ",27,The Secret World of Arrietty,"$19,202,743 "
Nickelodeon,"$1,930,746,182 ",26,Teenage Mutant Ninja Turtles,"$191,204,754 "
National Lampoon,"$436,840,032 ",22,National Lampoon's Animal House,"$120,091,123 "
Sony Pictures Animation,"$1,918,763,863 ",21,Spider-Man: Into the Spider-Verse,"$190,241,310 "
Platinum Dunes,"$1,422,911,399 ",19,Teenage Mutant Ninja Turtles,"$191,204,754 "
Illumination Entertainment,"$3,144,873,326 ",18,Minions: The Rise of Gru,"$369,695,210 "
Hasbro,"$2,079,485,824 ",17,Transformers: Revenge of the Fallen,"$402,111,870 "
Dark Horse Comics,"$947,685,500 ",17,300,"$210,614,939 "
Tyler Perry,"$765,635,362 ",16,Madea Goes to Jail,"$90,508,336 "
Dark Castle,"$454,625,110 ",16,Unknown,"$63,686,397 "
Aardman,"$333,777,829 ",16,Chicken Run,"$106,834,564 "
Bad Robot,"$3,077,078,931 ",15,Star Wars: Episode VII - The Force Awakens,"$936,662,225 "
Walt Disney Animation Studios,"$2,776,002,392 ",15,Frozen II,"$477,373,578 "
Philip K. Dick,"$495,283,266 ",15,Minority Report,"$132,072,926 "
Warner Animation Group,"$787,318,055 ",14,The Lego Movie,"$257,760,692 "
Blue Sky,"$1,740,428,763 ",13,Ice Age: Dawn of the Dinosaurs,"$196,573,705 "
Hanna-Barbera,"$578,636,355 ",12,Scooby-Doo,"$153,294,164 "
Nicholas Sparks,"$575,143,746 ",12,The Notebook,"$81,001,787 "
Saturday Night Live,"$346,533,876 ",11,Wayne's World,"$121,697,323 "
John Grisham,"$645,661,825 ",10,The Firm,"$158,348,367 "
Clive Barker,"$171,686,009 ",10,Candyman,"$61,186,570 "
Tim Burton-Johnny Depp,"$889,998,246 ",9,Alice in Wonderland,"$334,191,110 "
Disney Channel,"$359,952,780 ",8,High School Musical 3: Senior Year,"$90,559,416 "
Roald Dahl,"$356,285,229 ",8,Charlie and the Chocolate Factory,"$206,459,076 "
DisneyToon Studios,"$337,576,791 ",8,Planes,"$90,288,712 "
Disneynature,"$151,620,585 ",8,Earth,"$32,011,576 "
Laika,"$300,200,739 ",7,Coraline,"$75,286,229 "
Robert Ludlum,"$645,459,186 ",6,The Bourne Ultimatum,"$227,471,070 "
Broken Lizard,"$73,338,237 ",5,Super Troopers 2,"$30,617,396 "
MonsterVerse,"$580,145,113 ",4,Godzilla,"$200,676,069 "
Alan Moore,"$276,088,604 ",4,Watchmen,"$107,509,799 "
