Brand,Total,Releases,#1 Release,Lifetime Gross,Average Gross Per Release
Marvel Comics,"$17,130,521,167 ",74,Avengers: Endgame,"$858,373,000 ","$231,493,529.28 "
Pixar,"$6,078,217,662 ",28,Incredibles 2,"$608,581,744 ","$217,079,202.21 "
Bad Robot,"$3,077,078,931 ",15,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ","$205,138,595.40 "
Walt Disney Animation Studios,"$2,776,002,392 ",15,Frozen II,"$477,373,578 ","$185,066,826.13 "
Illumination Entertainment,"$3,144,873,326 ",18,Minions: The Rise of Gru,"$369,695,210 ","$174,715,184.78 "
Lucasfilm,"$6,326,389,060 ",41,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ","$154,302,172.20 "
MonsterVerse,"$580,145,113 ",4,Godzilla,"$200,676,069 ","$145,036,278.25 "
Blue Sky,"$1,740,428,763 ",13,Ice Age: Dawn of the Dinosaurs,"$196,573,705 ","$133,879,135.62 "
DreamWorks Animation,"$6,065,156,432 ",48,Shrek 2,"$441,226,247 ","$126,357,425.67 "
Hasbro,"$2,079,485,824 ",17,Transformers: Revenge of the Fallen,"$402,111,870 ","$122,322,695.53 "
Legendary Pictures,"$7,020,120,489 ",64,Jurassic World,"$652,270,625 ","$109,689,382.64 "
Robert Ludlum,"$645,459,186 ",6,The Bourne Ultimatum,"$227,471,070 ","$107,576,531.00 "
DC Comics,"$6,447,468,590 ",61,The Dark Knight,"$533,345,358 ","$105,696,206.39 "
Tim Burton-Johnny Depp,"$889,998,246 ",9,Alice in Wonderland,"$334,191,110 ","$98,888,694.00 "
Sony Pictures Animation,"$1,918,763,863 ",21,Spider-Man: Into the Spider-Verse,"$190,241,310 ","$91,369,707.76 "
Platinum Dunes,"$1,422,911,399 ",19,Teenage Mutant Ninja Turtles,"$191,204,754 ","$74,890,073.63 "
Nickelodeon,"$1,930,746,182 ",26,Teenage Mutant Ninja Turtles,"$191,204,754 ","$74,259,468.54 "
Alan Moore,"$276,088,604 ",4,Watchmen,"$107,509,799 ","$69,022,151.00 "
John Grisham,"$645,661,825 ",10,The Firm,"$158,348,367 ","$64,566,182.50 "
Vertigo Entertainment,"$3,155,524,780 ",49,It,"$327,481,748 ","$64,398,464.90 "
Warner Animation Group,"$787,318,055 ",14,The Lego Movie,"$257,760,692 ","$56,237,003.93 "
Dark Horse Comics,"$947,685,500 ",17,300,"$210,614,939 ","$55,746,205.88 "
Blumhouse Productions,"$2,516,080,536 ",51,Get Out,"$176,040,665 ","$49,334,912.47 "
Hanna-Barbera,"$578,636,355 ",12,Scooby-Doo,"$153,294,164 ","$48,219,696.25 "
Nicholas Sparks,"$575,143,746 ",12,The Notebook,"$81,001,787 ","$47,928,645.50 "
Tyler Perry,"$765,635,362 ",16,Madea Goes to Jail,"$90,508,336 ","$47,852,210.13 "
Walden Media,"$1,842,879,641 ",39,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957 ","$47,253,324.13 "
Disney Channel,"$359,952,780 ",8,High School Musical 3: Senior Year,"$90,559,416 ","$44,994,097.50 "
Roald Dahl,"$356,285,229 ",8,Charlie and the Chocolate Factory,"$206,459,076 ","$44,535,653.63 "
Laika,"$300,200,739 ",7,Coraline,"$75,286,229 ","$42,885,819.86 "
MTV,"$1,520,456,359 ",36,The Longest Yard,"$158,119,460 ","$42,234,898.86 "
DisneyToon Studios,"$337,576,791 ",8,Planes,"$90,288,712 ","$42,197,098.88 "
Saturday Night Live - Alumni Debuts,"$1,023,596,031 ",30,Bridesmaids,"$169,106,725 ","$34,119,867.70 "
Philip K. Dick,"$495,283,266 ",15,Minority Report,"$132,072,926 ","$33,018,884.40 "
Stephen King,"$1,730,092,967 ",53,It,"$327,481,748 ","$32,643,263.53 "
Saturday Night Live,"$346,533,876 ",11,Wayne's World,"$121,697,323 ","$31,503,079.64 "
Dark Castle,"$454,625,110 ",16,Unknown,"$63,686,397 ","$28,414,069.38 "
CBS Films,"$652,824,187 ",29,Scary Stories to Tell in the Dark,"$68,947,075 ","$22,511,178.86 "
Aardman,"$333,777,829 ",16,Chicken Run,"$106,834,564 ","$20,861,114.31 "
National Lampoon,"$436,840,032 ",22,National Lampoon's Animal House,"$120,091,123 ","$19,856,365.09 "
Disneynature,"$151,620,585 ",8,Earth,"$32,011,576 ","$18,952,573.13 "
Clive Barker,"$171,686,009 ",10,Candyman,"$61,186,570 ","$17,168,600.90 "
Broken Lizard,"$73,338,237 ",5,Super Troopers 2,"$30,617,396 ","$14,667,647.40 "
Sony Pictures Classics,"$416,199,811 ",37,"Crouching Tiger, Hidden Dragon","$128,078,872 ","$11,248,643.54 "
Amazon Studios,"$204,376,048 ",43,Manchester by the Sea,"$47,695,371 ","$4,752,931.35 "
Studio Ghibli,"$71,878,978 ",27,The Secret World of Arrietty,"$19,202,743 ","$2,662,184.37 "
